sample_id,accident_class,severity,family,predicted_family,max_probability,threshold,rejected,accepted,split_type,split_id,direction,nearest_severity_gap,focus_class,high_gap,gap_group,analysis_group
FLB_10,FLB,10.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_12,FLB,12.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_14,FLB,14.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_25,FLB,25.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_36,FLB,36.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_38,FLB,38.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_40,FLB,40.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,3.0,False,True,high_gap_or_above_split_median,other_classes
FLB_41,FLB,41.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,2.0,False,True,high_gap_or_above_split_median,other_classes
FLB_52,FLB,52.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_55,FLB,55.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_60,FLB,60.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_62,FLB,62.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_63,FLB,63.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,2.0,False,True,high_gap_or_above_split_median,other_classes
FLB_66,FLB,66.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_72,FLB,72.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_8,FLB,8.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_81,FLB,81.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_83,FLB,83.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_85,FLB,85.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
FLB_92,FLB,92.0,feedwater_line_break,feedwater_line_break,0.8930583456515205,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,False,True,high_gap_or_above_split_median,other_classes
LOCAC_12,LOCAC,12.0,primary_coolant_boundary_break,primary_coolant_boundary_break,0.8837999148724665,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,True,True,high_gap_or_above_split_median,RI_LOCAC_SLBIC
LOCAC_19,LOCAC,19.0,primary_coolant_boundary_break,primary_coolant_boundary_break,0.9163748039149099,0.0,False,True,random,seed_20260921,random_or_blocked,2.0,True,True,high_gap_or_above_split_median,RI_LOCAC_SLBIC
LOCAC_20,LOCAC,20.0,primary_coolant_boundary_break,primary_coolant_boundary_break,0.9163748039149099,0.0,False,True,random,seed_20260921,random_or_blocked,2.0,True,True,high_gap_or_above_split_median,RI_LOCAC_SLBIC
LOCAC_24,LOCAC,24.0,primary_coolant_boundary_break,primary_coolant_boundary_break,0.9066747102669042,0.0,False,True,random,seed_20260921,random_or_blocked,1.0,True,True,high_gap_or_above_split_median,RI_LOCAC_SLBIC
LOCAC_25,LOCAC,25.0,primary_coolant_boundary_break,primary_coolant_boundary_break,0.9162143547299689,0.0,False,True,random,seed_20260921,random_or_blocked,2.0,True,True,high_gap_or_above_split_median,RI_LOCAC_SLBIC
